City_ID,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,les cayes,18.2,-73.75,303.39,70,65,1.89,HT,1695845259
127,totness,5.8833,-56.3167,303.5,66,83,5.65,SR,1695845259
128,campbellton,48.0075,-66.6727,294.17,55,6,2.28,CA,1695845260
129,palikir - national government center,6.9248,158.1611,297.56,100,100,1.54,FM,1695845260
130,hrodna,53.6884,23.8258,290.52,67,1,3.58,BY,1695845260
131,georgetown,5.4112,100.3354,300.38,92,20,0.0,MY,1695845103
132,thompson,55.7435,-97.8558,294.24,60,75,5.14,CA,1695845087
133,nuuk,64.1835,-51.7216,276.49,87,75,2.06,GL,1695845110
134,glendive,47.1053,-104.7125,295.47,64,0,2.57,US,1695845261
135,college,64.8569,-147.8028,275.41,81,100,0.0,US,1695845094
136,kiffa,16.6166,-11.4045,309.94,31,59,2.6,MR,1695845261
137,mongar,27.2747,91.2396,288.89,89,0,2.37,BT,1695845261
138,burang,30.25,81.1667,277.96,62,3,1.42,CN,1695845262
139,zhangatas,43.5667,69.75,289.09,40,0,1.56,KZ,1695845262
140,bamboo flat,11.7,92.7167,299.7,84,100,9.41,IN,1695845262
141,kasulu,-4.5767,30.1025,296.45,59,91,1.65,TZ,1695845262
142,al mijlad,11.0333,27.7333,301.83,59,59,4.12,SD,1695845263
143,sisimiut,66.9395,-53.6735,276.4,93,100,2.33,GL,1695845142
144,st. john's,47.5649,-52.7093,284.08,77,100,6.69,CA,1695845135
145,anadyr,64.75,177.4833,277.43,93,40,4.0,RU,1695844878
146,mount vernon,40.9126,-73.8371,293.23,60,75,5.66,US,1695845264
147,necochea,-38.5473,-58.7368,290.44,55,8,3.84,AR,1695845158
148,sumenep,-7.0167,113.8667,298.99,80,43,6.14,ID,1695845264
149,tromso,69.6496,18.957,282.16,87,0,0.0,NO,1695845178
150,kouango,4.9934,19.9619,294.38,92,99,1.7,CF,1695845264
151,pisco,-13.7,-76.2167,294.18,68,40,6.17,PE,1695845087
152,namtsy,62.7161,129.6658,277.18,91,99,2.01,RU,1695845265
153,constantia,44.1833,28.65,292.53,69,52,7.33,RO,1695845203
154,juan de ayolas,-27.4,-56.9,291.99,59,10,5.55,PY,1695845265
155,piti village,13.4626,144.6933,299.64,91,40,0.0,GU,1695845265
156,arinos,-15.9169,-46.1056,309.39,25,48,3.03,BR,1695845266
157,am timan,11.0297,20.2827,294.74,90,100,4.69,TD,1695845266
158,visakhapatnam,17.69,83.2093,300.09,100,75,1.03,IN,1695845266
159,kavaratti,10.5669,72.642,301.26,77,99,6.77,IN,1695845091
160,ciudad lazaro cardenas,17.9583,-102.2,304.04,66,8,4.85,MX,1695845267
161,tan-tan,28.438,-11.1032,294.04,90,38,5.19,MA,1695845267
162,belomorsk,64.5232,34.7668,285.48,89,100,3.75,RU,1695845267
163,escarcega,18.6089,-90.7454,302.74,69,99,2.45,MX,1695845268
164,picota,-6.9197,-76.3304,311.42,33,30,2.13,PE,1695845268
165,selfoss,63.9331,-20.9971,283.17,89,89,2.78,IS,1695845268
166,amos,48.5669,-78.1162,292.62,33,0,1.61,CA,1695845241
167,brisas barra de suchiate,14.55,-92.2167,306.25,70,11,4.13,MX,1695845269
168,vakarai,55.6035,23.8213,287.44,62,54,3.07,LT,1695845269
169,uturoa,-16.7333,-151.4333,298.79,78,15,8.99,PF,1695845146
170,meridian,43.6121,-116.3915,294.23,41,20,4.12,US,1695845269
171,daru,-9.0763,143.2092,297.77,85,100,7.33,PG,1695845270
172,luga,58.7372,29.8453,286.98,83,44,3.02,RU,1695845270
173,qui nhon,13.7667,109.2333,299.12,83,97,2.39,VN,1695845270
174,forster,-32.1667,152.5167,288.36,100,85,2.99,AU,1695845270
175,lompoc,34.6391,-120.4579,305.94,52,20,9.26,US,1695845166
176,macae,-22.3708,-41.7869,300.39,72,94,5.19,BR,1695845271
177,santa cruz,-17.8,-63.1667,298.18,50,75,7.72,BO,1695845031
178,northam,51.0333,-4.2167,289.63,93,92,12.94,GB,1695845271
179,nantucket,41.2835,-70.0995,292.18,73,0,8.23,US,1695845271
180,kingston,17.997,-76.7936,306.68,76,40,4.63,JM,1695845139
181,san patricio,28.017,-97.5169,309.12,38,92,4.17,US,1695845172
182,aasiaat,68.7098,-52.8699,273.76,69,100,0.06,GL,1695845152
183,irtyshsk,53.3333,75.4572,284.4,77,98,3.66,KZ,1695845272
184,tionk essil,12.7856,-16.5217,299.96,86,68,2.81,SN,1695845272
185,qaqortoq,60.7167,-46.0333,274.89,91,100,6.38,GL,1695845110
186,makaha,21.4694,-158.2175,301.1,83,100,3.6,US,1695845273
187,kiama,-34.6833,150.8667,289.47,95,79,2.46,AU,1695845154
188,bireun,5.203,96.7009,298.54,86,100,1.7,ID,1695845273
189,howrah,22.5892,88.3103,302.15,89,40,2.57,IN,1695845178
190,karratha,-20.7377,116.8463,300.76,33,31,4.44,AU,1695845150
191,bikenibeu village,1.3673,173.1241,303.13,79,20,1.03,KI,1695845274
192,vieux fort,13.7167,-60.95,302.77,74,40,2.57,LC,1695845274
193,belmonte,-15.8631,-38.8828,299.04,74,6,7.12,BR,1695845135
194,lucapa,-8.4192,20.7447,295.86,74,100,0.73,AO,1695845275
195,meybod,32.2501,54.0166,295.16,25,5,3.16,IR,1695845275
196,tadine,-21.55,167.8833,293.03,59,33,5.53,NC,1695845155
197,myeik,12.4333,98.6,298.95,93,100,6.74,MM,1695845276
198,udachny,66.4167,112.4,275.07,80,65,7.08,RU,1695845081
199,brusyliv,50.2845,29.5263,287.66,59,1,3.02,UA,1695845276
200,gummi,12.1436,5.1081,303.54,57,100,3.8,NG,1695845276
201,bolivar,37.6145,-93.4105,301.56,62,68,4.86,US,1695845121
202,kaifeng,34.7911,114.3483,289.55,88,0,1.52,CN,1695845276
203,chibougamau,49.9168,-74.3659,292.45,31,0,0.74,CA,1695845204
204,moussoro,13.6408,16.4901,308.74,17,6,0.4,TD,1695845277
205,vorgashor,67.5833,63.95,273.21,86,100,1.47,RU,1695845196
206,nabire,-3.3667,135.4833,297.62,93,99,1.83,ID,1695845277
207,nar'yan-mar,67.6713,53.087,282.51,93,100,6.89,RU,1695845278
208,rio grande,-32.035,-52.0986,290.21,75,27,7.54,BR,1695844919
209,masuguru,-11.3667,38.4167,299.19,56,93,4.15,TZ,1695845278
210,fort mcmurray,56.7268,-111.381,293.92,40,20,4.12,CA,1695844842
211,lebu,-37.6167,-73.65,285.49,76,100,2.97,CL,1695845149
212,ostersund,63.1792,14.6357,282.4,93,0,4.63,SE,1695845279
213,portland,45.5234,-122.6762,290.57,82,100,6.26,US,1695844888
214,arawa,-6.2132,155.5367,297.82,94,100,1.55,PG,1695845279
215,ola,59.5833,151.2833,277.01,82,67,1.67,RU,1695845279
216,kourou,5.1552,-52.6478,303.18,69,33,5.27,GF,1695845280
217,puerto san jose,13.9256,-90.8244,304.3,68,94,4.75,GT,1695845280
218,kristiansund,63.1115,7.732,285.51,87,75,2.06,NO,1695845196
219,riyadh,24.6877,46.7219,304.23,13,0,4.68,SA,1695845103
220,bataipora,-22.2953,-53.2711,304.1,42,43,5.12,BR,1695845280
221,fort st. john,56.2499,-120.8529,284.09,76,100,3.6,CA,1695845267
222,hami,42.8,93.45,286.99,26,0,2.87,CN,1695845281
223,sao jose da coroa grande,-8.8978,-35.1478,298.6,73,84,4.1,BR,1695845281
224,natchez,31.5604,-91.4032,307.18,38,0,3.6,US,1695845282
225,saint-georges,12.0564,-61.7485,302.82,63,0,1.91,GD,1695845282
226,touros,-5.1989,-35.4608,299.42,65,7,4.97,BR,1695845101
227,balasore,21.4942,86.9317,299.62,86,80,3.01,IN,1695845282
228,sudak,44.85,34.9667,293.95,58,14,6.53,UA,1695845283
229,dudinka,69.4058,86.1778,269.61,81,14,3.69,RU,1695845115
230,boysun,38.2061,67.1986,287.66,32,98,2.11,UZ,1695845283
231,east ballina,-28.8667,153.5833,292.48,88,71,3.06,AU,1695845283
232,urangan,-25.3,152.9,292.16,78,1,4.47,AU,1695845284
233,al hada,21.3675,40.2869,298.49,39,44,2.47,SA,1695845284
234,kanigiri,15.4,79.5167,303.51,60,100,1.26,IN,1695845284
235,mahibadhoo,3.7833,72.9667,299.16,83,100,6.12,MV,1695845284
236,akureyri,65.6835,-18.0878,279.11,87,100,3.09,IS,1695845018
237,isoka,-10.1606,32.6335,294.77,46,26,1.69,ZM,1695845285
238,turkmenbasy,40.0222,52.9552,294.47,37,0,3.27,TM,1695845285
239,enterprise,36.0252,-115.2419,306.84,15,20,2.57,US,1695845116
240,port douglas,-16.4833,145.4667,295.32,73,82,6.94,AU,1695845285
241,kapuskasing,49.4169,-82.4331,293.15,42,0,3.6,CA,1695844806
242,marka,1.7159,44.7717,298.78,90,5,6.74,SO,1695845286
243,luderitz,-26.6481,15.1594,295.19,34,0,3.92,NA,1695845286
244,brisas de zicatela,15.8369,-97.0419,305.44,58,20,4.12,MX,1695845287
245,okhotsk,59.3833,143.3,277.88,81,97,1.14,RU,1695845083
246,kodiak,57.79,-152.4072,282.88,43,0,5.14,US,1695845179
247,dwarka,22.2394,68.9678,300.03,75,25,4.37,IN,1695845287
248,new norfolk,-42.7826,147.0587,285.21,83,84,1.77,AU,1695845179
249,egilsstadir,65.2653,-14.3948,278.1,93,40,3.09,IS,1695845190
250,yuzhne,46.6221,31.1013,293.58,47,0,4.72,UA,1695845288
251,ratnagiri,16.9833,73.3,298.58,89,100,2.0,IN,1695845288
252,tuchkovo,55.6011,36.4681,282.04,75,2,1.28,RU,1695845288
253,preobrazheniye,42.9019,133.9064,288.79,87,90,1.32,RU,1695845289
254,barranca,-10.75,-77.7667,293.52,74,68,4.78,PE,1695845289
255,nguigmi,14.2495,13.1092,305.4,30,6,3.32,NE,1695845289
256,enewetak,11.3474,162.3373,301.21,79,98,5.53,MH,1695845111
257,yarkovo,57.4028,67.0786,283.49,88,100,2.12,RU,1695845290
258,tolanaro,-25.0319,46.9987,296.19,83,20,11.83,MG,1695845082
259,centerville,39.6284,-84.1594,294.14,85,100,3.6,US,1695845290
260,usinsk,65.9939,57.5281,277.29,91,26,4.0,RU,1695845199
261,bhaisa,19.1,77.9667,297.01,93,100,1.22,IN,1695845291
262,ancud,-41.8697,-73.8203,282.96,77,29,8.37,CL,1695845155
263,beira,-19.8436,34.8389,296.2,88,0,5.66,MZ,1695845291
264,nikolayevsk-on-amure,53.1406,140.73,284.38,99,100,1.78,RU,1695845291
265,cheria,35.2731,7.7519,290.65,60,20,4.76,DZ,1695845291
266,bilibino,68.0546,166.4372,272.72,98,100,3.41,RU,1695845115
267,nicoya,10.1483,-85.452,302.38,77,98,2.09,CR,1695845292
268,weno,7.4515,151.8468,299.12,94,100,4.12,FM,1695845119
269,klyuchi,52.2667,79.1667,283.6,54,100,4.02,RU,1695845113
270,bambanglipuro,-7.95,110.2833,295.64,92,93,2.04,ID,1695845292
271,persembe,41.0656,37.7714,292.83,90,0,1.37,TR,1695845293
272,steffisburg,46.7781,7.6325,288.62,82,0,0.89,CH,1695845293
273,iskateley,67.6803,53.1512,282.47,93,100,6.9,RU,1695845099
274,saint-philippe,-21.3585,55.7679,295.92,80,39,6.41,RE,1695845183
275,colonia,50.9333,6.95,293.61,72,0,2.57,DE,1695844922
276,port mathurin,-19.6833,63.4167,295.61,78,55,7.73,MU,1695845092
277,fisterra,42.9049,-9.2629,293.72,93,100,4.49,ES,1695845130
278,ismayilli,40.779,48.1638,284.55,56,7,1.88,AZ,1695845294
279,pangody,65.85,74.4859,277.97,96,100,4.33,RU,1695845187
